Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANLP-1251,299958,,Backlog,03.06.2024 16:49 ,03.06.2024 16:49 ,klekovkinve,,ТехДолг. Заменить фильтрацию хардкодом на условный атрибут,klekovkinve
SA-185,299942,,Backlog,03.06.2024 16:12 ,03.06.2024 16:13 ,,,Доразбор топика ИЖС СБР,balitskayaav
ANL-2553,299866,,Backlog,03.06.2024 13:52 ,03.06.2024 13:53 ,flerinvs,3.0,Задача от Картаева,flerinvs
ANL-2552,299837,,Сделaть,03.06.2024 12:47 ,03.06.2024 12:52 ,balitskayaav,3.0, Сделать автоматизацию по втб укэп ,balitskayaav
ANL-2551,299826,,В работе,03.06.2024 12:30 ,03.06.2024 15:39 ,nikishinpa,5.0,MBO атрибуты и ревью,nikishinpa
ANL-2550,299821,,Hold,03.06.2024 12:22 ,04.06.2024 09:20 ,balitskayaav,2.0,Разобраться с рахождением дат в ижс сбр,balitskayaav
ANL-2548,299766,,В работе,03.06.2024 10:19 ,03.06.2024 14:09 ,mikhaelyanta,5.0,Исправить ошибку в ЭР,mikhaelyanta
ANL-2547,299665,,Сделaть,31.05.2024 18:34 ,03.06.2024 12:52 ,flerinvs,1.0,Передача дел Владу (чаты) Ч.2,flerinvs
ANL-2546,299664,,Сделaть,31.05.2024 18:33 ,03.06.2024 12:52 ,flerinvs,1.0,собрать инженерные задачи от BI ,flerinvs
DE-1771,299580,,Backlog,31.05.2024 15:20 ,31.05.2024 15:20 ,,, Добавить новые витрины в слой,balitskayaav
SA-183,299540,,Backlog,31.05.2024 13:24 ,31.05.2024 13:24 ,,,Сборка витрины для отчета ЭР,mikhaelyanta
DE-1769,299538,,Backlog,31.05.2024 13:21 ,31.05.2024 13:21 ,,,Автоматизировать сводку SLT на стороне инженеров ,balitskayaav
DE-1768,299510,,Backlog,31.05.2024 12:47 ,31.05.2024 12:48 ,,,Материализовать вьюху ,mikhaelyanta
ANL-2544,299485,,Готово,31.05.2024 11:57 ,03.06.2024 10:01 ,mikhaelyanta,1.0,Добавить новый тариф по ДКП для ВТБ,mikhaelyanta
SAD-27664,299432,,Готово,31.05.2024 10:15 ,03.06.2024 14:03 ,sidorovmv,,выдача доступа,mikhaelyanta
ANL-2543,299414,,Backlog,31.05.2024 09:18 ,03.06.2024 12:57 ,mikhaelyanta,2.0,Проверить связку СУП и ЭР,mikhaelyanta
SA-181,299228,,Backlog,30.05.2024 14:53 ,30.05.2024 14:55 ,,,Ошибка в разборе deal-online-v2.deal.events,klekovkinve
DE-1767,299126,,В работе,30.05.2024 11:10 ,03.06.2024 14:30 ,yumatovad,,Перенести витрины,balitskayaav
ANL-2539,298882,,Готово,29.05.2024 11:59 ,03.06.2024 09:48 ,flerinvs,1.0,Проработать сурсы для отключения от обновления_ч2(декомпозиция),flerinvs
ANL-2538,298855,,В работе,29.05.2024 11:01 ,03.06.2024 17:47 ,ManaenkovaOA,,Перенос отчета из cognos в SS,flerinvs
ANL-2537,298822,,Сделать,29.05.2024 09:50 ,29.05.2024 10:00 ,,,Чаты,flerinvs
ANL-2535,298713,,Закрыт,28.05.2024 16:51 ,03.06.2024 12:20 ,nikishinpa,5.0,Инструкция и коррективы словаря регионов для продаж + собрать анализ от продаж,nikishinpa
ANL-2532,298450,,В работе,27.05.2024 17:57 ,03.06.2024 13:54 ,flerinvs,1.0,проработка доступов в ЛК SS для ВТБ,flerinvs
ANL-2531,298448,,Готово,27.05.2024 17:54 ,03.06.2024 09:48 ,flerinvs,1.0,Убрать использование личных УЗ в постгре,flerinvs
ANL-2528,298197,,Готово,27.05.2024 09:18 ,31.05.2024 10:10 ,flerinvs,2.0,Требования к вакансии,flerinvs
DE-1757,298148,,Backlog,24.05.2024 19:03 ,24.05.2024 19:03 ,lahvichds,,необходимо сформировать реалтайм подход к отчету для ВТБ,flerinvs
ANL-2527,298028,,Сделaть,24.05.2024 14:31 ,03.06.2024 12:34 ,balitskayaav,,Цифры по юнит-экономике,balitskayaav
ANL-2526,297988,,Готово,24.05.2024 13:14 ,03.06.2024 09:49 ,flerinvs,1.0,Передача дел Владу (не ипотека),flerinvs
ANL-2525,297985,,Ревью,24.05.2024 13:10 ,03.06.2024 13:01 ,balitskayaav,,Чистка когнос,flerinvs
IBD-294,297944,,Backlog,24.05.2024 11:55 ,24.05.2024 11:55 ,akimovma,,Забрать отчет по когортам ИБ,klekovkinve
IBD-293,297943,,Backlog,24.05.2024 11:53 ,27.05.2024 15:40 ,akimovma,,Забрать процесс по обработке выдач,klekovkinve
IBD-292,297940,,В работе,24.05.2024 11:48 ,03.06.2024 13:05 ,salishevae,5.0,Перенести отчет по операторам в суперсет,klekovkinve
ANL-2524,297919,,Готово,24.05.2024 11:05 ,31.05.2024 12:48 ,mikhaelyanta,3.0,Анализ переноса Дешборда ЭР SLT в SuperSet,mikhaelyanta
ANL-2523,297894,,Сделaть,24.05.2024 10:23 ,03.06.2024 13:02 ,mikhaelyanta,5.0,Подзадача ANL-2169 создание Дашборд сводка СБР/ЭР,mikhaelyanta
SAD-27515,297867,,Готово,23.05.2024 20:12 ,23.05.2024 20:12 ,grankinka,,установить OBS на компьютер ,grankinka
SA-171,297663,,Cancel,23.05.2024 10:55 ,27.05.2024 16:14 ,,,Доразбор топика СБР,balitskayaav
SA-170,297579,,Backlog,22.05.2024 19:41 ,24.05.2024 11:37 ,norea,,Материализовать витрину данных для отчета по мидл офису (м2про),klekovkinve
ANL-2519,297446,,Готово,22.05.2024 14:20 ,31.05.2024 10:11 ,flerinvs,2.0,"Подготовить пачку простых задач, проверить защиту",flerinvs
ANL-2518,297445,,Hold,22.05.2024 14:18 ,03.06.2024 13:42 ,flerinvs,1.0,Задача мидла_ проработка ,flerinvs
ANL-2517,297279,,Готово,22.05.2024 10:09 ,24.05.2024 10:55 ,flerinvs,2.0,Квартальный ПОДФТ ,flerinvs
ANL-2516,297081,,Готово,21.05.2024 13:49 ,23.05.2024 10:50 ,mikhaelyanta,1.0,Проверить отчет по цессиям,mikhaelyanta
DE-1743,296505,,Backlog,17.05.2024 17:53 ,31.05.2024 13:21 ,lahvichds,,Анализ систем,balitskayaav
ANLP-1249,296452,,Готово,17.05.2024 15:38 ,27.05.2024 11:06 ,klekovkinve,3.0,Ознакомиться с продуктом Сделка,klekovkinve
ANLP-1248,296451,,Сделать,17.05.2024 15:37 ,03.06.2024 16:49 ,klekovkinve,,Сделка,klekovkinve
SA-167,296325,,Backlog,17.05.2024 12:50 ,17.05.2024 13:25 ,,,Консультация для BI по топику сделки,flerinvs
ANL-2511,296304,,Закрыт,17.05.2024 12:05 ,27.05.2024 12:31 ,nikishinpa,3.0,Автоматизация отчета ЭР МКБ,nikishinpa
ANL-2510,296298,,Закрыт,17.05.2024 11:59 ,24.05.2024 18:25 ,balitskayaav,5.0,Правки в дашборд СБР ,balitskayaav
DE-1741,296279,,Готово,17.05.2024 11:06 ,31.05.2024 15:16 ,davydovae,,Создание словаря,mikhaelyanta
DE-1738,296174,,Backlog,16.05.2024 17:02 ,22.05.2024 12:19 ,,,Материализация таблицы DM_ALL_PRODUCTS_BI.MBO_KPI,nikishinpa
ANL-2507,296158,,Готово,16.05.2024 16:01 ,31.05.2024 10:10 ,flerinvs,3.0,пофикисть ВТБ ФЛ автоотправку ,flerinvs
SAD-27328,296060,,Готово,16.05.2024 12:32 ,17.05.2024 10:27 ,grankinka,,Доступ в суперсет,klekovkinve
DE-1748,295851,,Backlog,15.05.2024 16:05 ,20.05.2024 16:18 ,norea,,Материализовать витрину данных для отчета по поиску сделок м2про,klekovkinve
DE-1736,295744,,Backlog,15.05.2024 13:15 ,17.05.2024 15:46 ,,,Миграция таблиц в TRINO,nikishinpa
ANLP-1246,295421,,Backlog,14.05.2024 15:29 ,23.05.2024 17:32 ,klekovkinve,,ТехДолг. Переключить источники в суперсете,klekovkinve
DE-1747,295420,,Cancel,14.05.2024 15:25 ,20.05.2024 16:18 ,norea,,Материализовать витрину данных для отчета по Тарифной карте,klekovkinve
ANL-2503,295343,,Закрыт,14.05.2024 13:43 ,27.05.2024 09:05 ,flerinvs,5.0,Отключить от обновлений отчеты когнос,flerinvs
DE-1746,295297,,Backlog,14.05.2024 12:20 ,20.05.2024 16:18 ,norea,,Материализовать витрину данных для дашборда по фиксациям,klekovkinve
DE-1745,295285,,Backlog,14.05.2024 12:00 ,20.05.2024 16:17 ,norea,,Материализовать витрину данных для дашборда по заявкам и агентам,klekovkinve
DE-1744,295143,,Backlog,13.05.2024 19:45 ,20.05.2024 16:17 ,norea,,Загрузить в postgres справочник застройщиков,klekovkinve
ANLP-1245,295063,,Готово,13.05.2024 16:20 ,17.05.2024 15:38 ,klekovkinve,1.0,ТехДолг. Перенести документации на отчеты,klekovkinve
SAD-27230,294750,,Готово,13.05.2024 10:17 ,22.05.2024 15:18 ,grankinka,,Замена ноутбука,mikhaelyanta
ANLP-1244,294570,,Готово,08.05.2024 15:45 ,27.05.2024 11:06 ,klekovkinve,5.0,Собрать новый отчет по KPI миддла,klekovkinve
ANLP-1243,294567,,Готово,08.05.2024 15:40 ,24.05.2024 11:18 ,klekovkinve,3.0,Доделать отчет по поиску сделок СБР-ЭР,klekovkinve
ANL-2501,294558,,Готово,08.05.2024 15:17 ,03.06.2024 10:01 ,mikhaelyanta,2.0,Подвязать ручники в отчет ДКП,mikhaelyanta
ANL-2499,294342,,Ревью,08.05.2024 10:12 ,03.06.2024 13:37 ,mikhaelyanta,3.0,Создание словаря по планам SLT,mikhaelyanta
ANL-2498,294232,,В работе,07.05.2024 18:04 ,03.06.2024 15:50 ,mikhaelyanta,5.0,Добавить в отчет по доле дкп данные ГЖ от ВТБ,nikishinpa
ANL-2497,294227,,Готово,07.05.2024 17:50 ,08.05.2024 11:58 ,mikhaelyanta,,Описание отчетов,mikhaelyanta
ANL-2495,294071,,Готово,07.05.2024 13:31 ,24.05.2024 10:25 ,mikhaelyanta,5.0,Подзадача по задачке ANL-2169,mikhaelyanta
ANL-2492,293625,,Готово,06.05.2024 09:39 ,13.05.2024 10:28 ,balitskayaav,5.0,Работа над макетом продуктового дашборда СБР часть 2,balitskayaav
ANL-2491,293133,,Готово,02.05.2024 12:20 ,08.05.2024 11:22 ,nikishinpa,3.0,Разобраться с подразделениями MART BRANCH VTB POS,nikishinpa
ANL-2490,293093,,Готово,02.05.2024 11:03 ,08.05.2024 11:50 ,mikhaelyanta,3.0,Подготовка вопросов по сегментации,mikhaelyanta
ANL-2488,293066,,Закрыт,02.05.2024 09:58 ,03.05.2024 17:51 ,flerinvs,,Проверить отчет в когносе,flerinvs
ANLP-1242,292950,,Закрыт,27.04.2024 18:21 ,17.05.2024 16:24 ,klekovkinve,3.0,Собрать дашборд для эксперимента по КВ,klekovkinve
ANLP-1241,292948,,Готово,27.04.2024 18:06 ,27.04.2024 18:16 ,klekovkinve,2.0,Собрать требования к отчетам от Киры,klekovkinve
ANLP-1240,292944,,Готово,27.04.2024 17:58 ,16.05.2024 12:17 ,klekovkinve,3.0,Реализовать алгоритм поиска сделок в СБР/ЭР,klekovkinve
ANLP-1239,292932,,Готово,27.04.2024 17:28 ,24.05.2024 12:09 ,klekovkinve,,Собрать регулярный отчет для поиска сделок в СБР-ЭР,klekovkinve
ANL-2487,292807,,Готово,27.04.2024 12:01 ,08.05.2024 11:35 ,flerinvs,,Оценка трудозатрат на банк,flerinvs
ANLP-1238,292623,,Hold,26.04.2024 16:29 ,17.05.2024 16:57 ,,,Исследовать результативность поиска в м2про,klekovkinve
ANLP-1237,292568,,Готово,26.04.2024 14:02 ,13.05.2024 13:13 ,klekovkinve,1.0,Добавить timestamp создания в дашборд по заявкам,klekovkinve
ANLP-1236,292567,,Закрыт,26.04.2024 13:59 ,17.05.2024 16:24 ,klekovkinve,2.0,Собрать информацию по сегменту АН,klekovkinve
ANL-2485,292539,,Готово,26.04.2024 12:21 ,23.05.2024 13:37 ,nikishinpa,5.0,MBO- добавить ЭР stand alone(сделку) + RR,nikishinpa
ANL-2484,292520,,Готово,26.04.2024 11:29 ,17.05.2024 18:32 ,nikishinpa,3.0,Проверить корректность формирования отчетов по офисам эксБФКО.,nikishinpa
SA-157,292274,,Backlog,25.04.2024 13:23 ,25.04.2024 13:25 ,norea,,[PA+WEB] Как мэтчить данные PG+CH,klekovkinve
ANLP-1234,292222,,Готово,25.04.2024 11:19 ,20.05.2024 15:40 ,klekovkinve,1.0,Добавить регион агента в отчет по фиксациям,klekovkinve
ANL-2479,291842,,Готово,23.04.2024 16:34 ,08.05.2024 11:35 ,flerinvs,5.0,Создать отчет-мониторинг по Самолету,flerinvs
ANLP-1233,291767,,Готово,23.04.2024 13:34 ,20.05.2024 15:40 ,klekovkinve,1.0,Добавить атрибуты в отчет по фиксациям,klekovkinve
ANLP-1232,291518,,Закрыт,22.04.2024 13:24 ,17.05.2024 16:57 ,,,Исследовать генерацию сделок М2про для других продуктов,klekovkinve
DE-1710,291502,,Готово,22.04.2024 13:15 ,24.04.2024 13:51 ,ginsburgea,,"Сформировать витрину, поставить на раскатку",nikishinpa
ANLP-1231,291461,,Сделать,22.04.2024 12:18 ,26.04.2024 13:59 ,klekovkinve,,M2Pro Discovery,klekovkinve
ANLP-1230,291460,,Готово,22.04.2024 12:18 ,24.04.2024 13:04 ,klekovkinve,2.0,Поискать ниши для дискавери,klekovkinve
SAD-26933,291416,,Готово,22.04.2024 11:11 ,23.04.2024 10:00 ,geykoyv,,Доступы в суперсет,klekovkinve
ANL-2476,291415,,Backlog,22.04.2024 11:05 ,29.05.2024 09:51 ,flerinvs,,Когортный анализ по доходам от клиентов,flerinvs
ANL-2475,291411,,Backlog,22.04.2024 11:00 ,29.05.2024 09:51 ,flerinvs,,Анализ продаж с комнатой и без (А/А - тест),flerinvs
ANLP-1229,291405,,Закрыт,22.04.2024 10:51 ,22.04.2024 10:51 ,klekovkinve,,тест,klekovkinve
ANL-2472,291285,,Закрыт,19.04.2024 15:59 ,26.04.2024 12:12 ,nikishinpa,5.0,MBO- коррективы словарей привязок,nikishinpa
ANLP-1228,291275,,Закрыт,19.04.2024 15:30 ,27.04.2024 18:08 ,klekovkinve,5.0,Приступить к квартальным задачам,klekovkinve
ANLP-1227,291273,,Готово,19.04.2024 15:28 ,27.04.2024 18:15 ,klekovkinve,2.0,Декомпозировать задачи на Q2,klekovkinve
ANLP-1226,291214,,Готово,19.04.2024 12:46 ,13.05.2024 13:13 ,klekovkinve,3.0,Собрать датасет с признаками агентов,klekovkinve
ANL-2471,291164,,Backlog,19.04.2024 11:23 ,29.05.2024 09:51 ,flerinvs,,Проверка гипотез,flerinvs
ANL-2470,291133,,Backlog,19.04.2024 10:44 ,29.05.2024 09:51 ,flerinvs,,Построить воронку по ипотечным сделкам,flerinvs
ANL-2469,291116,,Сделaть,19.04.2024 10:31 ,29.05.2024 09:51 ,flerinvs,8.0,Выстроить систему метрик для отслеживания здоровья продукта,flerinvs
DE-1705,290935,,Готово,18.04.2024 13:24 ,22.04.2024 13:01 ,,,Добавить в основную цепочку mart_sbr таблицу из mart_sbr_new ,balitskayaav
DE-1703,290687,,Готово,17.04.2024 12:36 ,18.04.2024 13:49 ,,,Создать таблицу DmSup_Recipient_SS,mikhaelyanta
ANL-2467,290541,,Готово,16.04.2024 17:17 ,16.04.2024 17:18 ,balitskayaav,1.0,Выгрузка по сбр и эр ,balitskayaav
ANL-2466,290425,,Готово,16.04.2024 13:08 ,18.04.2024 13:29 ,balitskayaav,1.0,Добавить КВ в сводку СБР ,balitskayaav
SAD-26829,290418,,Готово,16.04.2024 12:49 ,16.04.2024 16:00 ,grankinka,,Дать доступы в суперсет,klekovkinve
SA-150,290354,,Backlog,16.04.2024 09:57 ,16.04.2024 09:57 ,,,Дубли в таблицах ODS_R_ESTATE_APPROVAL,balitskayaav
ANL-2465,290096,,Закрыт,15.04.2024 11:32 ,15.04.2024 11:34 ,nikishinpa,3.0,Неипотека- поддержка отчета,nikishinpa
ANL-2463,289946,,Закрыт,12.04.2024 15:37 ,17.05.2024 18:32 ,nikishinpa,3.0,Автоматизация отчета ЭР Открытие СМБ,nikishinpa
ANLP-1225,289945,,Готово,12.04.2024 15:36 ,22.04.2024 10:49 ,klekovkinve,5.0,Подготовить эксперимент по повышению КВ (ч.2),klekovkinve
ANL-2462,289943,,Закрыт,12.04.2024 15:32 ,26.04.2024 11:53 ,nikishinpa,5.0,MBO - рассчитать и добавить показания M2ПРО и неипотечные АНЧ,nikishinpa
ANLP-1224,289941,,Готово,12.04.2024 15:26 ,20.05.2024 15:40 ,klekovkinve,2.0,Собрать в суперсете отчет по фиксациям для продаж,klekovkinve
SA-147,289892,,In Review,12.04.2024 13:57 ,13.05.2024 16:36 ,anashchenkooa,,Обогащение данных ВТБ СМБ,mikhaelyanta
SA-146,289824,,Backlog,12.04.2024 11:58 ,14.05.2024 16:49 ,,,ТЗ по уникальным сделкам,balitskayaav
ANL-2460,289820,,Готово,12.04.2024 11:48 ,13.05.2024 10:28 ,balitskayaav,2.0,Макет по дашборду СБР,balitskayaav
ANL-2459,289771,,Готово,12.04.2024 10:36 ,17.04.2024 11:49 ,flerinvs,2.0,Подготовить слайды для демо,flerinvs
ANL-2458,289746,,Готово,12.04.2024 09:51 ,21.05.2024 10:13 ,mikhaelyanta,5.0,Подзадача 8 ANL-2169 создание Дашборд сводка СБР/ЭР,mikhaelyanta
ANL-2457,289539,,Готово,11.04.2024 11:15 ,11.04.2024 17:29 ,flerinvs,,Сформировать бэклог сотруднику,flerinvs
DE-1690,289304,,Готово,10.04.2024 10:49 ,18.04.2024 13:47 ,ginsburgea,,Раскатать скрипты на dm_sbr_bi слое,balitskayaav
ANL-2455,288768,,Готово,08.04.2024 12:57 ,19.04.2024 11:25 ,balitskayaav,1.0,Убрать ручное нажатие на рассылку когноса,balitskayaav
ANL-2454,288765,,Готово,08.04.2024 12:56 ,08.05.2024 11:35 ,balitskayaav,2.0,Пофиксить проблему с альтернативой отчет (автоматическая отправка),balitskayaav
ANL-2453,288666,,Закрыт,08.04.2024 10:41 ,08.04.2024 12:55 ,balitskayaav,1.0,Выгрузить сверку укэп ,balitskayaav
ANL-2452,288634,,Готово,08.04.2024 10:10 ,08.05.2024 11:35 ,flerinvs,3.0,"Автоматизация отчета ""Свод по мульти ВТБ ФЛ_ЧМ"" и ""Свод по мульти ВТБ ЮЛ 10.08"" (Дек.ANL-2339)",flerinvs
ANL-2451,288633,,Готово,08.04.2024 10:10 ,09.04.2024 16:12 ,flerinvs,3.0,"Автоматизация отчета ""Миграция моно заявки за последние 30"" (Дек.ANL-2339)",flerinvs
ANL-2450,288623,,Готово,08.04.2024 09:56 ,08.04.2024 09:59 ,flerinvs,5.0,"Автоматизация отчета ""Миграция компании ВТБ"" (Дек.ANL-2339)",flerinvs
ANLP-1220,288428,,Готово,05.04.2024 15:35 ,22.04.2024 10:53 ,klekovkinve,5.0,Запланировать эксперимент по повышению КВ,klekovkinve
ANL-2449,288417,,Закрыт,05.04.2024 15:03 ,15.04.2024 11:31 ,nikishinpa,5.0,MBO перевод в superset,nikishinpa
ANL-2447,288332,,Готово,05.04.2024 12:29 ,08.05.2024 16:55 ,nikishinpa,3.0,Изучить автоматизацию отчетов с excel-редактированием,nikishinpa
DE-1682,287997,,Готово,04.04.2024 13:23 ,19.04.2024 14:28 ,davydovae,,Выдать права к dg_tool,balitskayaav
ANL-2444,287869,,Сделать,04.04.2024 09:48 ,31.05.2024 11:57 ,,,Задачи по ДКП,mikhaelyanta
SA-132,287704,,Готово,03.04.2024 15:49 ,25.04.2024 11:17 ,,,Реплиция таблицы dwh_ods.r_deal_online_dl__offcs__contact_persons ...,nikishinpa
DE-1679,287511,,Готово,03.04.2024 09:24 ,17.04.2024 01:30 ,yumatovad,,"Не раскатываются данные за вчерашний день ""DM_DEAL_ONLINE"".""DO_REGULAR_REPORT_SSET""",flerinvs
SYS-3499,287448,,Готово,02.04.2024 18:27 ,16.04.2024 21:35 ,kalinkinav,,Обновление сведений в корп. почте,klekovkinve
SA-128,287389,,Готово,02.04.2024 16:26 ,19.04.2024 13:48 ,norea,,Доразбор поля из-за проблема с полем в ИЖС СБР,balitskayaav
SA-133,287360,,Backlog,02.04.2024 15:04 ,04.04.2024 15:18 ,norea,,Создание схемы ODS_R_SBR,balitskayaav
ANL-2440,287269,,Backlog,02.04.2024 12:11 ,27.04.2024 11:10 ,,,Проверить корректность заполнения признака escrow,balitskayaav
ANL-2437,287086,,Готово,01.04.2024 16:35 ,03.04.2024 15:49 ,mikhaelyanta,2.0,Сформировать отчет ВТБ СМБ по марту,mikhaelyanta
ANL-2435,286988,,Готово,01.04.2024 12:57 ,12.04.2024 11:58 ,balitskayaav,2.0,Подготовить ТЗ по уникальным,balitskayaav
ANL-2434,286914,,Готово,01.04.2024 11:08 ,08.04.2024 12:35 ,nikishinpa,1.0,Детализация ДКП февраль,nikishinpa
SA-119,286787,,Backlog,29.03.2024 18:18 ,29.03.2024 18:18 ,norea,,Обновление модели СБР,flerinvs
ANL-2431,286748,,Закрыт,29.03.2024 16:49 ,05.04.2024 14:57 ,nikishinpa,5.0,MBO- Агрегация категорий и источников данных,nikishinpa
ANLP-1219,286721,,Готово,29.03.2024 15:47 ,08.04.2024 12:23 ,klekovkinve,1.0,Собрать сведения про отчет для продаж,klekovkinve
ANLP-1218,286718,,Закрыт,29.03.2024 15:43 ,17.05.2024 16:44 ,klekovkinve,3.0,Изучить решение маркетинга по сквозной аналитике,klekovkinve
ANLP-1217,286717,,Закрыт,29.03.2024 15:42 ,01.04.2024 16:42 ,klekovkinve,3.0,Собрать статистику по ЖК для юнит-экономики,klekovkinve
ANLP-1216,286716,,Готово,29.03.2024 15:42 ,05.04.2024 11:16 ,klekovkinve,2.0,Разбить юнит-экономику на ЧР и АН,klekovkinve
ANL-2430,286686,,Сделaть,29.03.2024 14:25 ,03.06.2024 13:01 ,nikishinpa,5.0,Перенос отчета из Когноса - Отчет по списаниям для подрядчиков,nikishinpa
ANL-2429,286619,,Готово,29.03.2024 12:05 ,10.04.2024 12:08 ,mikhaelyanta,3.0,Подзадача 6 ANL-2169 создание Дашборд сводка СБР/ЭР,mikhaelyanta
ANL-2428,286581,,Закрыт,29.03.2024 10:34 ,29.03.2024 18:33 ,balitskayaav,,Мэтчинг сделок ЭР с ВТБ ,balitskayaav
SA-117,286338,,Backlog,28.03.2024 13:36 ,03.06.2024 22:27 ,anashchenkooa,,Построить дата_март credit-application.credit-application.events,flerinvs
ANL-2424,286252,,Готово,28.03.2024 10:32 ,08.04.2024 09:53 ,flerinvs,5.0,KPI СО (План/Факт),flerinvs
ANL-2423,286049,,Backlog,27.03.2024 12:31 ,27.03.2024 13:53 ,nikishinpa,,Утвердить и передать финальную версию отчета по неипотеке,nikishinpa
ANL-2422,286040,,В работе,27.03.2024 12:17 ,03.06.2024 13:02 ,nikishinpa,3.0,Перевод отчетов на автоматизированную рассылку,nikishinpa
ANL-2421,286031,,Готово,27.03.2024 11:52 ,29.05.2024 10:46 ,balitskayaav,5.0,Уникальные сделки,balitskayaav
ANL-2420,286024,,Backlog,27.03.2024 11:32 ,02.04.2024 14:17 ,balitskayaav,,Создание дашборда по основным метрикам КС,balitskayaav
ANL-2419,286022,,Backlog,27.03.2024 11:31 ,27.03.2024 11:33 ,balitskayaav,,Перенос Простыни КС в дашборд,balitskayaav
ANL-2418,286021,,Backlog,27.03.2024 11:31 ,27.03.2024 11:33 ,balitskayaav,,Обновление Простыни КС ,balitskayaav
ANL-2417,286019,,Готово,27.03.2024 11:31 ,13.05.2024 10:29 ,balitskayaav,,Перенос простыни СБР в дашборд,balitskayaav
ANL-2416,286018,,Готово,27.03.2024 11:30 ,13.05.2024 10:28 ,balitskayaav,,Создание дашборда по основным метрикам сбр,balitskayaav
ANL-2415,285970,,Backlog,27.03.2024 09:43 ,27.03.2024 12:02 ,,,Перенос отчета из когноса ЛК Пользователей,flerinvs
ANL-2414,285968,,Backlog,27.03.2024 09:32 ,27.03.2024 12:11 ,,,Перенос отчета из когноса  Отчет по сделке онлайн new,flerinvs
ANL-2413,285961,,Закрыт,27.03.2024 09:24 ,14.05.2024 12:29 ,,,Перенос из когноса отчета по Компаниям,flerinvs
DATA-124,285775,,Готово,26.03.2024 13:20 ,10.04.2024 12:17 ,krylovim,,Скрипт по подсчету активных пользователей,mikhaelyanta
ANL-2407,285503,,Backlog,25.03.2024 17:51 ,02.04.2024 21:37 ,mikhaelyanta,,Описание бизнес-логики отчетов ЭР,mikhaelyanta
ANL-2405,285462,,Готово,25.03.2024 16:19 ,03.06.2024 12:43 ,balitskayaav,5.0,Перенос Отчет СБР SLT на супер сет,flerinvs
ANL-2404,285438,,Backlog,25.03.2024 15:40 ,24.05.2024 11:05 ,mikhaelyanta,,Перенос Отчет ЭлРег 2.0 РБ SLT на супер сет,flerinvs
ANL-2400,284991,,Готово,22.03.2024 11:42 ,29.03.2024 11:30 ,nikishinpa,5.0,Сверка данных отчета и источников продукта в неипотеке,nikishinpa
ANL-2399,284928,,Готово,22.03.2024 10:01 ,10.04.2024 12:08 ,mikhaelyanta,5.0,Подзадача 5 ANL-2169 создание Дашборд сводка СБР/ЭР,mikhaelyanta
ANL-2396,284721,,Hold,21.03.2024 11:31 ,13.05.2024 12:38 ,mikhaelyanta,3.0,Изменение в сделках Банк ВТБ,mikhaelyanta
DE-1656,284208,,Готово,19.03.2024 14:25 ,21.03.2024 11:32 ,ginsburgea,,"Поменять тип атрибута в справочнике ""OBJ_OWNCLD_SBR"".""DEPOSIT_HAND_CORRECTION",balitskayaav
ANLW-1618,284032,,Готово,18.03.2024 19:15 ,01.04.2024 18:21 ,vasyaginmr,3.0,Проверить корректность присвоения канала привлечения агентов М2про,klekovkinve
ANL-2395,283990,,Готово,18.03.2024 17:33 ,28.03.2024 09:34 ,flerinvs,5.0,Подготовка данных для demo ,flerinvs
ANL-2393,283890,,Backlog,18.03.2024 14:26 ,29.05.2024 10:17 ,mikhaelyanta,,Отчет ВТБ СМБ,mikhaelyanta
SA-103,283882,,Готово,18.03.2024 14:01 ,28.03.2024 09:35 ,gorbenkoid,,[DO] Доразбор атрибутов deal-online-v2.deal.events,flerinvs
ANL-2392,283764,,Готово,18.03.2024 11:03 ,20.03.2024 13:56 ,balitskayaav,2.0,Запрос на выгрузку инфы по срокам раскрытия сбр для пик,balitskayaav
ANLP-1215,283599,,Готово,15.03.2024 15:47 ,25.03.2024 11:33 ,klekovkinve,1.0,Подбить итоги по квартальным задачам,klekovkinve
ANLP-1214,283598,,Готово,15.03.2024 15:47 ,29.03.2024 15:42 ,klekovkinve,5.0,Посчитать расходы в юнит-экономике,klekovkinve
ANL-2390,283506,,Готово,15.03.2024 11:59 ,08.04.2024 09:32 ,balitskayaav,2.0,Атрибут в простынь СБР,balitskayaav
ANL-2389,283455,,Готово,15.03.2024 09:49 ,15.03.2024 09:50 ,balitskayaav,1.0,выгрузка бфа девелопмент,balitskayaav
ANL-2386,283401,,Готово,14.03.2024 17:57 ,20.03.2024 10:05 ,mikhaelyanta,2.0,Перевести отчет на DM,mikhaelyanta
SAD-26225,283369,,Готово,14.03.2024 16:17 ,14.03.2024 16:55 ,sidorovmv,,FW: Важное сообщение от банка - перейдите в личный кабинет,klekovkinve
DE-1653,283314,,Готово,14.03.2024 13:39 ,20.03.2024 11:52 ,ginsburgea,,Создать витрину на dm_sbr_bi слое,balitskayaav
ITSEC-2631,283266,,Готово,14.03.2024 11:41 ,14.03.2024 12:01 ,botvinavv,,Согласование ITsec: Дашборд по плану и факту заключения неипотечных сделок,jira-bot
